generation,LAYER1-0,LAYER1-1,LAYER1-2,LAYER1-3,LAYER1-4,LAYER2-0,LAYER2-1,LAYER2-2,LAYER2-3,LAYER2-4,
72,26.6028,21.6552,11.4591,8.13235,8.06804,27.5207,11.4591,8.17793,8.11936,8.06804,
73,26.6028,21.6552,11.4591,8.13235,8.06804,14.0073,10.9356,8.17793,8.06804,8.06804,
74,17.9149,14.0073,12.0947,8.13235,8.06804,14.0073,10.9356,8.17793,8.06804,8.06804,
75,17.9149,14.0073,12.0947,8.13235,8.06804,10.7306,8.48569,8.17793,8.06804,8.06804,
76,26.564,20.7306,11.7998,8.13235,8.06804,10.7306,8.48569,8.17793,8.06804,8.06804,
77,26.564,20.7306,11.7998,8.13235,8.06804,17.7134,10.0391,8.48569,8.17793,8.06804,
78,45.2308,17.9017,11.7465,8.13235,8.06804,17.7134,10.0391,8.48569,8.17793,8.06804,
79,45.2308,17.9017,11.7465,8.13235,8.06804,15.8463,9.4341,8.48569,8.11602,8.06804,
80,15.8463,15.8463,11.6794,7.92544,8.06804,15.8463,9.4341,8.48569,8.11602,8.06804,
81,15.8463,15.8463,11.6794,7.92544,8.06804,11.8272,9.4341,9.3062,8.11602,7.92544,
82,35.4109,14.0912,9.4341,7.92544,8.06804,11.8272,9.4341,9.3062,8.11602,7.92544,
83,35.4109,14.0912,9.4341,7.92544,8.06804,11.9546,9.06725,8.79462,8.11602,7.92544,
84,32.2702,39.4481,10.3821,7.92544,7.92544,11.9546,9.06725,8.79462,8.11602,7.92544,
85,32.2702,39.4481,10.3821,7.92544,7.92544,11.9546,13.1451,9.43113,9.46706,7.82501,
86,30.3935,13.1451,10.0483,7.82501,7.82501,11.9546,13.1451,9.43113,9.46706,7.82501,
87,30.3935,13.1451,10.0483,7.82501,7.82501,11.9546,8.66371,9.29673,9.17805,7.82501,
88,30.136,16.1085,9.32293,7.82501,7.82501,11.9546,8.66371,9.29673,9.17805,7.82501,
89,30.136,16.1085,9.32293,7.82501,7.82501,23.062,9.32293,8.66371,9.29673,7.7875,
90,29.4129,29.7316,8.66371,7.7875,7.79591,23.062,9.32293,8.66371,9.29673,7.7875,
91,29.4129,29.7316,8.66371,7.7875,7.79591,29.4129,11.5432,8.66371,9.29673,7.7875,
92,23.2356,28.8351,8.66371,7.7875,7.79337,29.4129,11.5432,8.66371,9.29673,7.7875,
93,23.2356,28.8351,8.66371,7.7875,7.79337,19.1574,11.0006,8.66371,9.29673,7.7875,
94,16.521,28.3425,8.66371,7.7875,7.79337,19.1574,11.0006,8.66371,9.29673,7.7875,
95,16.521,28.3425,8.66371,7.7875,7.79337,28.3425,20.8533,8.66371,8.58781,7.7875,
96,22.3885,14.6994,15.0067,8.58781,7.7875,28.3425,20.8533,8.66371,8.58781,7.7875,
97,22.3885,14.6994,15.0067,8.58781,7.7875,36.9129,14.6994,8.66371,8.58781,7.7875,
98,23.6077,13.4575,15.0067,8.58781,7.7875,36.9129,14.6994,8.66371,8.58781,7.7875,
99,23.6077,13.4575,15.0067,8.58781,7.7875,27.7118,13.4575,8.66371,8.58781,7.7875,
100,8.58781,13.4575,14.9646,8.58781,7.7875,27.7118,13.4575,8.66371,8.58781,7.7875,
